,zr,tm,rt,TiOx,sph,ap,ep,gt,st,amp,cpx,opx
N1,0.490,0.490,0.000,0.000,0.000,0.490,4.902,11.765,0.980,0.490,79.902,0.490
N2,0.000,0.000,0.476,0.000,1.429,0.476,5.238,8.571,0.476,1.429,80.952,0.476
N3,0.495,0.000,0.000,0.495,0.495,0.000,4.455,10.396,0.495,4.950,77.723,0.495
N4,0.000,1.000,2.000,0.500,2.000,0.000,29.500,27.000,0.000,9.500,27.000,1.000
N5,0.481,0.962,0.962,2.404,5.769,0.962,43.750,20.673,2.404,15.385,4.808,0.481
N6,1.456,0.485,0.971,0.485,0.971,0.000,5.340,5.825,0.485,15.049,67.476,1.456
N7,1.970,0.000,0.493,0.000,0.000,0.000,5.911,9.360,0.000,4.926,76.355,0.493
N8,2.475,0.000,0.000,0.000,0.990,0.000,11.386,22.772,0.495,5.446,55.941,0.000
N9,4.926,0.985,0.000,0.000,4.433,0.000,12.808,39.409,0.985,8.867,27.586,0.000
N10,0.939,0.000,0.000,0.000,1.878,0.000,7.512,13.146,0.939,15.962,59.155,0.000
N11,0.481,0.000,0.962,0.000,0.000,0.000,3.365,12.981,0.481,5.288,75.962,0.481
N12,1.429,0.000,0.000,0.476,0.000,0.476,2.381,1.429,0.000,3.810,87.619,2.381
T8,0.474,0.000,0.000,0.000,0.000,0.000,2.370,9.479,0.000,8.057,78.673,0.000
T13,0.490,1.471,0.000,0.000,0.000,0.000,2.451,6.863,0.000,2.941,85.294,0.490
N13,0.905,0.452,0.905,1.810,1.357,1.810,21.267,5.882,0.000,9.050,54.751,1.810
N14,0.000,0.000,0.495,0.495,0.000,0.495,2.475,3.960,0.000,8.911,80.198,2.970
