,Q,KF,P,Lm,Lv,Ls
N1,64.258,7.900,10.790,0.772,9.259,1.389
N2,64.767,6.933,12.631,0.314,8.803,0.943
N3,60.116,5.202,11.850,0.952,13.333,0.952
N4,78.620,8.066,6.317,1.289,4.188,1.289
N5,76.820,9.579,7.567,1.239,2.788,0.929
N6,70.056,5.085,9.887,2.367,6.509,2.071
N7,72.952,10.095,7.524,0.336,7.064,1.346
N8,53.544,10.153,7.567,0.400,6.393,0.000
N9,69.477,14.826,6.977,0.000,2.778,0.309
N10,63.215,17.984,9.809,0.852,3.409,0.852
N11,64.272,7.950,9.674,0.677,9.143,0.339
N12,55.215,9.816,13.804,0.687,9.450,1.546
T8,72.376,9.392,10.221,0.000,7.508,0.313
T13,73.654,8.782,8.782,0.289,5.202,1.445
N13,61.696,5.263,8.480,2.913,7.443,6.149
N14,45.758,7.273,20.303,1.155,16.172,2.805
